,A,B,C,G,R,X6,X8
199,10,899.38,779.74,58.27,2858,69.5591,0.2511
200,11,879.71,749.75,59.43,3232,68.1312,0.2487
201,13,862.95,379.87,59.43,4029,86.0511,0.2386
202,13,873.65,379.87,60.63,4602,92.0687,0.2428
203,10,888.14,739.75,56.09,4881,85.085,0.2463
204,11,887.83,749.75,56.09,4898,87.4439,0.2464
205,12,887.52,739.75,56.62,4719,92.4136,0.2465
206,11,879.4,369.88,56.62,3305,90.8623,0.2412
207,11,900.32,769.74,56.09,2827,68.1641,0.243
208,10,876.9,699.77,56.09,5751,70.1791,0.2495
209,10,886.67,699.77,54.56,5736,89.5049,0.2392
210,10,900.67,789.74,54.56,3402,96.2375,0.2507
211,10,890.33,809.73,61.88,1217,91.4544,0.2457
212,9,879.08,809.73,64.54,1059,92.729,0.2488
213,11,850.32,749.75,65.24,1679,88.6837,0.2495
214,13,843.54,749.75,57.16,3758,94.199,0.2441
215,12,854.26,709.76,57.16,4619,93.2669,0.2483
216,10,858.8,709.76,57.71,4587,90.0807,0.247
217,9,844.13,709.76,57.71,4913,90.4946,0.2439
218,10,850.32,709.76,58.27,5226,71.8905,0.2495
219,10,856.9,739.75,58.27,3673,77.5388,0.2188
220,10,852.44,749.75,61.24,4000,69.5,0.2488
221,9,814.59,729.76,61.24,1922,88.9698,0.2455
222,10,810.59,739.75,65.24,2380,87.0168,0.2467
223,10,838.84,739.75,55.57,4054,71.5343,0.2454
224,9,865.17,739.75,55.57,4837,75.1706,0.2452
225,10,853.65,749.75,56.09,5101,86.2968,0.2485
226,9,835.9,739.75,60.02,3801,92.1863,0.2463
227,9,824.43,739.75,54.07,3748,79.9626,0.2497
228,9,845.89,739.75,54.07,4751,80.4462,0.2434
229,8,853.35,739.75,59.43,3615,81.4108,0.2486
230,9,844.26,739.75,60.02,4178,78.6022,0.2154
231,8,858.54,619.79,44.79,23571,75.245,0.1713
232,10,800.93,349.88,44.79,40383,69.3336,0.1499
233,13,706.43,349.88,49.2,20633,100.0,0.0944
234,11,862.09,359.88,48.02,59046,89.4726,0.1657
235,9,894.54,719.76,56.09,6649,87.6523,0.2524
236,9,858.2,719.76,56.09,7903,91.8638,0.2119
237,10,839.13,689.77,57.71,6181,94.8067,0.2103
238,10,824.73,669.78,54.56,9932,71.2445,0.1783
239,8,808.87,669.78,54.56,8101,72.633,0.2473
240,9,836.69,669.78,58.27,5962,51.107,0.1449
241,9,860.93,669.78,58.27,6000,48.6,0.2464
242,10,774.07,499.83,46.53,11264,57.3775,0.3492
243,9,752.53,499.83,63.85,2412,70.2322,0.1846
244,9,825.61,699.77,62.52,2864,54.8883,0.2138
