,A,B,C,G,R,X6,X8
1173,7,984.31,819.73,50.44,5765,70.3382,0.2177
1174,8,991.1,819.73,43.49,8859,53.7307,0.1802
1175,9,1086.44,909.7,45.47,8713,58.7857,0.2577
1176,7,1154.61,919.69,45.13,8652,73.3588,0.2526
1177,7,1168.78,1009.66,46.53,4882,92.5236,0.2496
1178,7,1162.95,989.67,45.47,5670,86.3492,0.2508
1179,7,1161.28,1019.66,45.47,4057,77.2738,0.2512
1180,7,1147.12,1019.66,45.82,4817,53.4357,0.2543
1181,8,1182.21,1029.66,45.82,6698,79.7552,0.2574
1182,7,1197.86,1049.65,45.82,2883,89.5595,0.2541
1183,7,1190.47,1079.64,46.53,2253,61.7399,0.2922
1184,8,1193.52,989.67,43.18,5118,64.1462,0.255
1185,8,1213.94,989.67,43.18,4770,47.631,0.2507
1186,8,1232.77,1129.62,44.13,3332,72.8691,0.2212
1187,7,1225.5,1019.66,43.49,4294,55.333,0.2596
1188,6,1262.44,1119.63,43.49,2136,88.6704,0.1509
1189,6,1211.77,1029.66,44.46,3648,84.5121,0.2512
1190,6,1166.69,1009.66,46.89,4011,51.2092,0.2857
1191,6,1217.85,1009.66,43.81,6146,45.851000000000006,0.1428
1192,6,1178.3,999.67,44.46,4361,76.4962,0.2583
1193,6,1114.63,949.68,46.17,6082,96.0375,0.2617
1194,7,1190.47,949.68,43.49,7559,78.6744,0.2557
1195,6,1166.28,999.67,46.53,2974,38.4331,0.1429
1196,6,1023.23,889.7,48.02,2222,61.6562,0.1396
1197,7,992.17,889.7,53.59,1568,65.7526,0.28800000000000003
1198,7,1069.64,909.7,46.89,3174,73.1254,0.2517
1199,6,1052.24,929.69,46.89,3007,58.0978,0.3168
1200,7,1037.06,929.69,49.6,2444,61.4157,0.2857
1201,7,1088.84,929.69,49.6,4016,81.2251,0.2572
1202,5,1094.83,979.67,50.02,3000,92.2,0.2558
1203,6,1098.03,989.67,47.26,2279,79.9912,0.2914
1204,7,1107.23,989.67,47.26,3412,86.7233,0.289
1205,5,1024.47,829.72,49.2,3455,62.2287,0.2531
1206,6,1011.14,829.72,50.44,3649,59.715,0.293
1207,9,1078.04,959.68,47.26,3699,84.7256,0.2968
1208,7,1116.43,959.68,45.47,5538,57.0784,0.2866
1209,6,1167.94,999.67,41.11,7915,53.9608,0.3211
1210,6,1108.83,959.68,41.11,10088,56.1063,0.2525
1211,6,1027.51,939.69,44.79,2529,44.2467,0.1738
1212,7,990.7,939.69,51.74,1246,37.5602,0.1392
1213,5,1002.52,919.69,45.82,3777,33.8364,0.1781
1214,5,998.95,919.69,45.82,2676,43.8714,0.14300000000000002
1215,7,1034.47,959.68,50.02,2367,87.2412,0.2864
1216,8,1069.64,969.68,50.02,2993,89.7093,0.2517
1217,8,1078.84,969.68,48.02,5603,90.7371,0.2595
1218,5,1135.04,969.68,46.53,5715,88.2065,0.257
1219,5,1175.02,999.67,43.49,9775,54.0767,0.2128
1220,6,1092.71,879.71,43.49,5685,38.7687,0.1408
1221,6,1035.21,879.71,49.2,4571,50.361000000000004,0.2504
1222,8,1090.04,899.7,45.47,7521,59.0347,0.2569
1223,7,1187.86,899.7,43.81,10582,52.7689,0.2196
1224,7,1193.08,969.68,43.81,7444,65.8786,0.2551
1225,7,1134.02,979.67,44.13,4359,77.5637,0.2469
1226,6,1134.82,979.67,46.89,4872,69.2939,0.2467
1227,7,1153.37,999.67,46.53,3370,59.1098,0.2529
1228,8,1135.87,999.67,46.53,3580,66.8994,0.2568
1229,8,1130.87,989.67,47.26,3286,77.0237,0.2579
1230,6,1185.44,999.67,44.79,3565,62.5526,0.2812
1231,8,1226.11,1099.63,44.46,3021,85.005,0.2128
1232,6,1192.21,1069.64,46.17,3088,93.7176,0.2188
1233,6,1209.14,1069.64,45.47,3401,89.2973,0.2256
1234,7,1249.13,1069.64,41.11,6192,75.6783,0.2183
1235,7,1265.03,1069.64,41.11,6922,84.4409,0.2156
1236,7,1238.28,1109.63,43.81,4744,87.7108,0.1756
1237,5,1227.42,1079.64,44.46,4909,93.7054,0.2125
1238,6,1234.13,1099.63,45.13,3733,90.0616,0.221
1239,7,1223.23,1099.63,45.13,3261,90.555,0.223
1240,7,1237.31,1119.63,44.79,4145,90.5187,0.2204
1241,7,1241.4,1119.63,45.13,4316,91.0102,0.2197
1242,6,1223.94,1059.65,45.13,4192,92.605,0.2131
1243,6,1208.29,1029.66,43.49,3436,94.1211,0.2159
1244,5,1222.32,1029.66,43.81,3948,87.234,0.2231
1245,6,1267.76,1099.63,43.49,3292,88.5784,0.2151
1246,7,1231.41,1079.64,45.13,2775,82.7387,0.2215
1247,7,1224.59,1079.64,44.46,4514,97.2308,0.2227
1248,6,1231.33,1109.63,44.46,4090,96.2592,0.2119
1249,8,1240.04,1109.63,44.79,2359,88.17299999999999,0.2199
1250,7,1219.14,989.67,44.79,5416,73.726,0.2237
1251,8,1198.69,989.67,45.47,6414,88.7122,0.2275
1252,7,1184.82,1019.66,45.47,5775,95.8442,0.2202
1253,8,1163.78,1019.66,47.63,4494,86.2483,0.2506
1254,7,1198.73,1059.65,44.79,5787,73.043,0.2176
1255,6,1230.46,999.67,43.49,5293,80.7671,0.212
1256,7,1228.29,999.67,43.81,5177,72.7835,0.2124
1257,6,1244.82,1099.63,43.81,2973,82.6102,0.2295
1258,7,1251.86,1119.63,43.81,4076,89.9902,0.2179
1259,5,1242.19,1059.65,43.81,3008,92.25399999999999,0.245
1260,6,1251.4,1039.65,43.81,5855,69.1546,0.2179
1261,8,1225.95,1039.65,43.81,7325,83.1809,0.2225
1262,8,1236.41,1079.64,42.87,6865,87.9534,0.2206
1263,8,1251.4,1079.64,42.87,4634,80.1036,0.2179
1264,7,1224.59,1089.64,45.47,3093,92.4992,0.2227
1265,9,1216.55,1089.64,44.13,2777,83.5794,0.2144
1266,6,1211.77,1079.64,46.89,2172,79.6961,0.2153
1267,7,1215.96,1059.65,44.46,3828,93.3908,0.2243
1268,8,1232.32,1049.65,44.46,5715,95.6605,0.2213
1269,7,1249.13,1039.65,39.75,7674,66.5103,0.2183
1270,6,1255.04,1039.65,39.75,8832,72.0109,0.2173
1271,8,1230.02,1099.63,44.46,4009,78.673,0.2121
1272,8,1213.07,1059.65,45.13,4819,92.8823,0.2509
1273,7,1207.32,1049.65,45.13,4281,94.3238,0.2259
1274,7,1234.13,1049.65,42.57,7918,85.956,0.221
1275,7,1238.72,1059.65,42.57,6341,93.5184,0.2106
1276,7,1225.24,1069.64,44.79,4969,96.0153,0.2129
1277,7,1225.5,1079.64,44.79,4383,92.9957,0.2226
1278,7,1203.08,1019.66,45.13,5495,92.0109,0.2168
1279,8,1219.16,1019.66,44.79,6047,82.9502,0.214
1280,8,1179.61,1039.65,45.47,4205,89.5125,0.2212
1281,7,1176.69,1039.65,46.89,3831,85.3563,0.2479
1282,9,1215.25,1039.65,43.49,4330,73.6028,0.2147
1283,8,1215.5,1059.65,43.49,4205,87.8716,0.2244
1284,7,1184.82,1059.65,46.17,4182,96.6284,0.2202
1285,7,1193.95,1009.66,44.46,5748,65.2401,0.2185
1286,8,1205.68,1009.66,44.46,3233,65.9759,0.2524
1287,8,1194.6,1039.65,45.47,3198,78.8305,0.2093
1288,8,1156.7,1029.66,45.13,4261,73.01100000000001,0.2522
1289,7,1162.22,1029.66,46.89,3210,89.7819,0.2245
1290,7,1159.61,1009.66,47.26,3365,91.1144,0.225
1291,7,1167.53,1009.66,42.57,3322,96.5382,0.2141
1292,6,1228.29,1079.64,41.97,8260,81.9613,0.2124
1293,8,1230.95,1019.66,41.97,9198,84.8119,0.2216
1294,7,1177.43,1009.66,46.17,3759,92.7374,0.2216
1295,8,1190.47,1079.64,45.13,3247,76.3474,0.1826
1296,8,1217.32,1099.63,45.13,3578,88.2895,0.22399999999999998
1297,8,1199.6,1079.64,46.17,3129,79.5781,0.2175
1298,6,1184.39,1079.64,46.53,3366,94.1474,0.2203
1299,6,1216.87,999.67,42.87,6974,50.846000000000004,0.2241
1300,8,1221.77,999.67,42.87,5945,78.9907,0.2135
1301,7,1213.94,1089.64,44.46,3035,89.061,0.2149
1302,8,1229.14,1079.64,44.46,3950,79.2405,0.2219
1303,7,1219.59,1079.64,44.79,5469,89.1754,0.2139
1304,5,1211.77,1059.65,44.79,5157,92.3599,0.2153
1305,7,1199.17,1059.65,45.13,3456,81.8287,0.2175
1306,7,1230.02,1109.63,45.13,3197,90.3347,0.2121
1307,7,1209.6,1029.66,44.46,4111,93.4079,0.2255
1308,7,1185.26,1029.66,44.46,3129,89.7411,0.2201
1309,7,1180.86,1009.66,46.53,4797,92.2452,0.247
1310,6,1184.82,1009.66,46.53,4152,89.5713,0.2202
1311,8,1189.17,1049.65,47.63,2679,94.2143,0.2194
1312,8,1177.87,1019.66,47.63,2348,96.7632,0.2215
1313,7,1193.52,1019.66,45.47,4112,96.8872,0.2186
1314,8,1213.23,1069.64,45.47,5501,88.493,0.2248
1315,6,1195.69,1049.65,46.17,5011,81.2612,0.2182
1316,7,1203.08,1049.65,45.47,5210,92.2457,0.2168
1317,7,1152.95,939.69,45.47,4083,61.6703,0.2168
1318,6,1166.13,939.69,45.13,4092,60.044,0.2237
1319,6,1182.21,1019.66,46.17,4795,88.5506,0.2207
1320,7,1180.48,1019.66,46.17,5395,87.8406,0.221
1321,8,1192.65,1009.66,44.79,4470,88.0089,0.2187
1322,8,1154.2,989.67,45.82,4025,76.8447,0.2166
1323,7,1157.11,989.67,46.53,4437,89.0467,0.2521
1324,6,1200.03,1009.66,44.79,5445,91.5519,0.2174
1325,6,1191.78,1009.66,44.79,4230,93.617,0.2189
1326,8,1170.03,1009.66,47.63,3272,93.9792,0.2137
1327,7,1188.77,1069.64,46.89,3588,83.8907,0.2454
1328,8,1174.83,1049.65,46.17,4373,89.3894,0.14800000000000002
1329,8,1183.52,1049.65,44.79,4951,80.9129,0.2204
1330,6,1213.51,1049.65,40.83,10963,79.1207,0.215
1331,6,1215.96,1049.65,40.83,6152,62.9064,0.2243
1332,7,1165.44,999.67,44.13,4515,91.4064,0.2503
1333,7,1175.69,1019.66,47.26,5230,75.6788,0.2219
1334,7,1177.87,1049.65,47.26,3666,92.8532,0.2215
1335,7,1146.28,1049.65,49.2,2761,97.7544,0.2181
1336,7,1167.53,1059.65,44.79,3047,87.1349,0.2141
1337,7,1219.59,1069.64,44.46,3358,73.7046,0.2496
1338,5,1188.3,1049.65,44.79,2670,94.0075,0.2561
1339,6,1215.68,1039.65,44.13,6282,93.1391,0.2146
1340,7,1223.68,1039.65,44.13,4768,89.4295,0.2229
1341,8,1172.22,1049.65,46.89,3793,83.7332,0.2226
1342,8,1170.03,1049.65,48.8,3098,93.8347,0.2493
1343,6,1177.52,979.67,43.81,6291,64.3777,0.2477
1344,6,1196.56,979.67,43.81,7569,69.2958,0.218
1345,7,1176.13,1039.65,46.17,3420,92.7485,0.2218
1346,7,1167.94,1029.66,47.63,4223,92.0436,0.2497
1347,8,1160.03,1019.66,48.4,3784,94.186,0.2514
1348,8,1153.78,979.67,46.89,4615,88.9274,0.2528
1349,6,1179.61,1039.65,46.89,4479,93.8379,0.2212
1350,7,1200.03,1049.65,43.81,5188,69.9306,0.2174
1351,7,1221.77,1049.65,42.87,6472,60.8931,0.2135
1352,7,1210.47,1049.65,42.87,3824,84.2573,0.2155
1353,6,1161.7,1009.66,46.89,4445,93.4758,0.2152
1354,5,1177.87,1039.65,47.26,3898,92.432,0.2215
1355,8,1181.35,1049.65,47.26,4035,83.0979,0.2208
